update,Total Number of Messages Count,Total Number of Self IDs sent Count,Total Number of Real Ids sent Count,Total Number of Highest IDs sent Count
45900,4.52888e+07,22260,4.52873e+07,22092
46000,4.54831e+07,22344,4.54815e+07,22092
46100,4.56847e+07,22428,4.56831e+07,22092
46200,4.58923e+07,22428,4.58908e+07,22176
46300,4.60995e+07,22512,4.60979e+07,22176
46400,4.63079e+07,22764,4.63064e+07,22176
46500,4.65169e+07,22932,4.65154e+07,22260
46600,4.67216e+07,22932,4.672e+07,22344
46700,4.69304e+07,23184,4.69289e+07,22428
46800,4.7137e+07,23268,4.71355e+07,22596
46900,4.73354e+07,23268,4.73339e+07,22680
47000,4.75348e+07,23436,4.75332e+07,22680
47100,4.77334e+07,23520,4.77319e+07,22848
47200,4.79333e+07,23688,4.79318e+07,22932
47300,4.81317e+07,23772,4.81302e+07,23016
47400,4.83355e+07,24024,4.8334e+07,23100
47500,4.85359e+07,24276,4.85344e+07,23100
47600,4.87393e+07,24528,4.87378e+07,23100
47700,4.89413e+07,24612,4.89397e+07,23268
47800,4.9135e+07,24696,4.91335e+07,23352
47900,4.93304e+07,24696,4.93289e+07,23436
48000,4.95241e+07,25116,4.95226e+07,23604
48100,4.97146e+07,25200,4.97131e+07,23604
48200,4.99128e+07,25200,4.99113e+07,24108
48300,5.01104e+07,25452,5.01089e+07,24108
48400,5.03086e+07,25452,5.03071e+07,24192
48500,5.05097e+07,25536,5.05082e+07,24276
48600,5.07079e+07,25536,5.07063e+07,24360
48700,5.15207e+07,26010,5.15192e+07,24820
48800,5.17298e+07,26095,5.17283e+07,24820
48900,5.1939e+07,26350,5.19375e+07,24990
49000,5.21576e+07,26350,5.21561e+07,25075
49100,5.23802e+07,26350,5.23787e+07,25160
49200,5.25978e+07,26435,5.25963e+07,25330
49300,5.28164e+07,26520,5.28148e+07,25415
49400,5.30405e+07,26520,5.3039e+07,25500
49500,5.32645e+07,26520,5.3263e+07,25500
49600,5.34827e+07,26690,5.34812e+07,25585
49700,5.43448e+07,27090,5.43432e+07,25972
49800,5.4585e+07,27090,5.45834e+07,26144
49900,5.4823e+07,27176,5.48215e+07,26316
